Example,Time (days),Filter,Magnitude,Uncertainty
2,9.63142857142857,ztfr,26.719149,0.20588557
2,9.63142857142857,ztfi,24.96298,0.21932691
2,9.83,ztfg,29.418617,0.17985553
2,9.83,ztfr,26.724514,0.20498689
2,9.83,ztfi,25.161985,0.21697667
2,10.028571428571428,ztfg,29.866093,0.17643856
2,10.028571428571428,ztfr,26.695744,0.20560558
2,10.028571428571428,ztfi,25.176239,0.21735528
2,10.227142857142857,ztfg,29.78611,0.1793294
2,10.227142857142857,ztfr,27.063911,0.20409262
2,10.227142857142857,ztfi,25.218805,0.21626069
2,10.425714285714285,ztfg,29.953608,0.17816272
2,10.425714285714285,ztfr,26.825157,0.20500702
2,10.425714285714285,ztfi,25.423002,0.21558994
2,10.624285714285714,ztfg,30.238829,0.17684363
2,10.624285714285714,ztfr,27.125864,0.20999098
2,10.624285714285714,ztfi,25.348795,0.22176494
2,10.822857142857142,ztfg,30.323538,0.17955488
2,10.822857142857142,ztfr,27.332426,0.20817678
2,10.822857142857142,ztfi,25.355934,0.22154048
2,11.02142857142857,ztfg,30.41572,0.17983249
2,11.02142857142857,ztfr,27.08413,0.20535642
2,11.02142857142857,ztfi,25.482502,0.22134416
2,11.219999999999999,ztfg,30.378304,0.18015614
2,11.219999999999999,ztfr,27.307716,0.20932686
2,11.219999999999999,ztfi,25.553627,0.22062874
2,11.418571428571427,ztfg,30.453693,0.18064444
2,11.418571428571427,ztfr,27.38605,0.21190983
2,11.418571428571427,ztfi,25.498274,0.21971226
2,11.617142857142856,ztfg,30.676893,0.17825212
2,11.617142857142856,ztfr,27.436958,0.20675938
2,11.617142857142856,ztfi,25.879457,0.21985087
2,11.815714285714286,ztfg,30.789637,0.17891449
2,11.815714285714286,ztfr,27.504631,0.20637043
2,11.815714285714286,ztfi,25.919245,0.21715806
2,12.014285714285714,ztfg,30.91275,0.179683
2,12.014285714285714,ztfr,27.60811,0.21143888
2,12.014285714285714,ztfi,25.976282,0.22101465
2,12.212857142857143,ztfg,31.128654,0.17595494
2,12.212857142857143,ztfr,27.630507,0.2102592
2,12.212857142857143,ztfi,26.015465,0.21763587
2,12.411428571428571,ztfg,31.077166,0.17963587
2,12.411428571428571,ztfr,27.948442,0.20782094
